category,subcategory,label,prompt,
Person,Eyes,瞳孔闪光,snake_pupils,
Person,Eyes,符号形瞳孔,symbol-shaped_pupils,
Person,Eyes,爱心形瞳孔,heart-shaped_pupils,
Person,Eyes,钻石形状瞳孔,diamond-shaped_pupils,
Person,Eyes,五角星形状瞳孔,star-shaped_pupils,
Person,Eyes,瞳孔散大,dilated_pupils,
Person,Eyes,没有瞳孔,no_pupils,
Person,Eyes,轮回眼,ringed_eyes,
Person,Eyes,收缩的瞳孔,constricted_pupils,
Person,Eyes,眼睛里的星星,star_in_eye,
Person,Eyes,X形瞳孔,x-shaped_pupils,
Person,Eyes,水平瞳孔,horizontal_pupils,
Person,Eyes,虚线的眼睛,dashed_eyes,
Person,Eyes,蝴蝶形瞳孔,butterfly-shaped_pupils,
Person,Eyes,长方形瞳孔,rectangular_pupils,
Person,Eyes,方形瞳孔,square_pupils,
Person,Eyes,点瞳孔,dot_pupils,
Person,Eyes,额外的瞳孔,extra_pupils,
Person,Eyes,不匹配的瞳孔,mismatched_pupils,
Person,Eyes,十字星星眼,cross_star_eyes,
Person,Eyes,符号形瞳孔,cross-shaped_pupils,
Person,Eyes,紫色瞳孔,purple_pupils,
Person,Eyes,橙色瞳孔,orange_pupils,
Person,Eyes,橙色瞳孔,blue_pupils,
Person,Eyes,眼睛里有符号,symbol_in_eye,
Person,Nose,尖鼻子,pointed nose,
Person,Nose,小鼻子,small nose,
Person,Nose,大鼻子,big nose,
Person,Nose,没鼻子,no_nose,
Person,Nose,点状鼻,dot_nose,
Person,Nose,鼻泡,nose_bubble,
Person,Nose,闻,smelling,
Person,Nose,鼻子,nose,
Person,Nose,流鼻血,nosebleed,
Person,Nose,鼻涕,snot,
Person,Nose,鹰钩鼻,aquiline nose,
Person,Nose,蒜头鼻,bulbous nose,
Person,Nose,朝天鼻,upturned nose,
Person,Nose,扁平鼻,flat nose,
Person,Nose,希腊鼻,Greek nose,
Person,Nose,罗马鼻,Roman nose,
Person,Nose,宽鼻,wide nose,
Person,Nose,窄鼻,narrow nose,
Person,Nose,歪鼻,crooked nose,
Person,Nose,塌鼻梁,low nose bridge,
Person,Nose,高鼻梁,high nose bridge,
Person,Nose,动物口鼻部,snout,
Person,Nose,猪鼻子,pig snout,
Person,Nose,狗鼻子,dog snout,
Person,Nose,鳄鱼鼻,crocodile snout,
Person,Mouth,栗子嘴,chestnut mouth,
Person,Mouth,厚嘴唇,thick lips,
Person,Mouth,肿嘴唇,puffy lips,
Person,Mouth,口红,lipstick,
Person,Mouth,心形嘴,heart-shaped mouth,
Person,Mouth,嘟嘴,pout,
Person,Mouth,张嘴,open mouth,
Person,Mouth,闭嘴,closed mouth,
Person,Mouth,鲨鱼嘴,shark mouth,
Person,Mouth,张开的嘴,parted lips,
Person,Mouth,嘴下痣,mole under mouth,
Person,Mouth,张嘴,open_mouth,
Person,Mouth,喘气(张大嘴),gasping,
Person,Mouth,嘴巴微微张开,Slightly_open_mouth,
Person,Mouth,波浪嘴,wavy_mouth,
Person,Mouth,闭嘴,close_mouth,
Person,Mouth,点嘴,dot_mouth,
Person,Mouth,没有嘴,no_mouth,
Person,Mouth,堵嘴,gag,
Person,Mouth,啃,gnaw,
Person,Mouth,猫嘴,:3:,
Person,Mouth,张嘴,:o:,
Person,Mouth,V嘴,:>:,
Person,Mouth,嘴唇张开,parted_lips,
Person,Mouth,勒住嘴,bit_gag,
Person,Mouth,被封住嘴,cleave_gag,
Person,Mouth,闭着的嘴,closed_mouth,
Person,Mouth,蒙住的嘴,covered_mouth,
Person,Mouth,有多张嘴巴,extra_mouth,
Person,Mouth,嘴里有头发,hair_in_mouth,
Person,Mouth,系发的东西叼在嘴里,hair_tie_in_mouth,
Person,Mouth,抿嘴,homu,
Person,Mouth,嘴唇,lips,
Person,Mouth,嘴,mouth,
Person,Mouth,用嘴叼着,mouth_hold,
Person,Mouth,用嘴,oral,
Person,Mouth,奶嘴,pacifier,
Person,Mouth,撅起的嘴唇,Pouted lips,
Person,Mouth,把嘴画在侧脸,sideways_mouth,
Person,Mouth,嘴里含着勺子,spoon_in_mouth,
Person,Mouth,三角嘴,triangle_mouth,
Person,Mouth,唾液,saliva,
Person,Mouth,流口水,drooling,
Person,Mouth,嘴角画着口水,mouth_drool,
Person,Mouth,牙齿,teeth,
Person,Mouth,上牙,upper_teeth,
Person,Mouth,虎牙,fang,
Person,Mouth,肤色虎牙,skin_fang,
Person,Mouth,圆齿,round_teeth,
Person,Mouth,锋利的牙齿,sharp_teeth,
Person,Mouth,咬紧牙关,clenched_teeth,
Person,Mouth,舌头,tongue,
Person,Mouth,龅牙,buck_teeth,
Person,Mouth,露出虎牙,fang_out,
Person,Mouth,尖牙,fangs,
